transaction_id,amount,average_amount,new_device,new_beneficiary,transactions_last_hour,failed_logins_last_hour,transaction_hour,is_fraud
1,51.27,73.76,False,False,0,2,22,0
2,2388.48,450.83,True,True,5,7,1,1
3,684.13,716.26,False,True,2,0,10,0
4,179.1,373.24,False,False,0,1,8,0
5,254.74,376.76,False,True,3,2,8,0
6,488.94,409.61,True,True,2,2,11,0
7,57.07,93.53,False,False,1,0,17,0
8,560.19,653.9,False,False,1,2,13,0
9,229.76,699.37,True,False,4,2,12,0
10,813.22,410.48,True,True,4,0,15,0
11,481.99,787.2,False,False,3,1,7,0
12,1681.05,945.76,False,False,3,1,19,0
13,2273.97,182.65,False,True,11,7,3,1
14,447.86,997.46,False,False,0,0,9,0
15,770.29,802.48,False,False,3,2,19,0
16,1701.33,972.52,False,True,0,2,22,0
17,633.74,780.17,False,False,1,1,5,0
18,594.6,882.06,True,False,4,0,14,0
19,297.03,532.28,False,False,4,2,5,0
20,206.37,514.18,False,False,1,0,12,0
21,336.33,949.6,False,False,4,0,9,0
22,472.12,949.51,True,True,3,0,22,0
23,1046.28,705.37,False,True,2,1,21,0
24,90.01,285.51,False,True,4,0,23,0
25,156.9,117.44,False,False,0,1,7,0
26,337.75,314.55,True,False,4,2,20,0
27,465.72,499.32,False,False,3,1,18,0
28,259.02,870.64,True,True,0,0,17,0
29,321.54,810.56,False,False,4,1,9,0
30,204.39,314.62,False,False,4,0,6,0
31,127.68,563.56,False,False,1,1,20,0
32,1589.82,871.42,False,False,0,1,13,0
33,567.81,795.87,True,True,4,2,20,0
34,645.05,331.87,True,True,4,0,15,0
35,6066.94,604.97,False,True,5,7,0,1
36,37.1,115.1,False,False,0,2,12,0
37,30.5,87.75,True,True,4,2,15,0
38,363.43,244.05,False,False,3,0,14,0
39,1757.26,932.57,False,False,4,2,8,0
40,1932.13,252.5,True,True,8,5,2,1
41,1234.77,842.06,True,True,4,0,22,0
42,1285.67,680.22,False,False,0,0,22,0
43,183.97,317.67,False,False,2,2,20,0
44,266.01,912.75,True,False,2,0,5,0
45,342.22,174.28,False,True,3,2,18,0
46,297.1,156.28,True,False,4,0,16,0
47,81.88,190.69,False,False,0,1,11,0
48,571.91,683.59,True,False,4,2,9,0
49,135.39,274.9,False,False,0,0,15,0
50,620.16,441.13,True,False,2,0,8,0
51,90.89,86.79,False,False,2,1,12,0
52,621.0,677.03,False,False,2,1,21,0
53,1144.32,982.09,False,False,2,0,23,0
54,119.4,302.19,False,False,2,1,21,0
55,6241.97,904.53,True,False,11,3,4,1
56,839.47,561.53,True,True,1,1,18,0
57,5653.91,681.03,True,False,6,8,2,1
58,538.04,683.55,True,False,4,0,11,0
59,1338.78,943.35,False,True,4,1,17,0
60,36.1,50.39,False,True,4,2,15,0
61,274.82,470.05,False,True,1,2,7,0
62,894.84,680.66,False,False,2,0,11,0
63,1393.42,93.9,False,True,12,6,4,1
64,775.49,711.54,False,False,0,0,18,0
65,1182.3,813.9,False,False,4,0,8,0
66,1137.22,811.35,True,True,2,1,21,0
67,913.92,911.51,False,True,3,1,13,0
68,592.8,847.87,True,False,1,1,19,0
69,2480.6,321.44,True,False,6,4,1,1
70,1043.7,709.25,False,False,3,1,22,0
71,185.47,109.15,False,True,0,2,17,0
72,697.38,945.6,False,False,4,2,22,0
73,974.08,902.92,False,False,3,0,17,0
74,644.97,695.18,False,False,1,2,22,0
75,4516.43,424.32,True,True,11,4,3,1
76,234.52,297.15,False,False,2,1,13,0
77,549.65,840.33,False,False,0,2,22,0
78,6911.4,954.32,True,False,5,3,1,1
79,32.9,69.36,False,False,0,2,11,0
80,253.53,293.43,True,True,0,0,14,0
81,604.01,74.39,False,True,11,8,1,1
82,7959.23,706.08,True,False,9,8,4,1
83,982.77,806.42,False,False,4,1,16,0
84,3410.01,665.17,True,True,6,6,2,1
85,1233.43,837.27,False,False,4,2,13,0
86,1472.61,923.64,False,False,4,1,15,0
87,298.75,839.19,False,False,3,2,17,0
88,407.89,519.59,False,False,2,1,15,0
89,1099.69,616.35,True,False,4,0,7,0
90,523.03,436.11,False,True,3,2,20,0
91,48.43,66.38,False,True,1,1,23,0
92,471.44,575.8,True,True,2,1,19,0
93,120.49,288.83,False,False,0,2,22,0
94,384.43,705.66,True,False,2,2,23,0
95,389.04,548.41,False,False,2,0,16,0
96,73.68,63.44,False,False,0,2,14,0
97,299.7,169.97,False,False,0,2,14,0
98,249.15,468.45,False,False,3,0,7,0
99,160.47,120.38,False,False,1,2,14,0
100,3023.76,285.78,True,False,8,7,3,1
101,822.72,470.58,False,False,4,2,6,0
102,1435.12,753.08,False,True,1,1,7,0
103,72.09,215.12,False,False,3,2,20,0
104,397.43,269.9,True,False,0,2,12,0
105,1058.02,798.44,True,False,3,0,22,0
106,129.89,191.54,False,False,0,0,14,0
107,1547.89,833.03,False,False,3,2,14,0
108,1040.9,945.54,False,False,0,2,6,0
109,962.2,747.81,False,False,1,2,23,0
110,109.9,69.71,False,True,0,0,20,0
111,329.4,470.12,True,False,3,0,20,0
112,515.58,366.64,False,False,3,2,20,0
113,1577.75,947.93,True,False,3,0,15,0
114,254.7,160.13,True,False,4,1,18,0
115,6090.51,542.52,True,False,12,3,1,1
116,125.34,174.46,True,False,0,0,12,0
117,77.54,345.21,False,False,1,0,19,0
118,317.46,665.32,True,False,4,2,13,0
119,533.79,508.37,False,True,1,1,11,0
120,949.92,532.83,False,False,3,1,21,0
121,79.02,52.44,True,True,3,0,19,0
122,450.97,377.87,True,False,3,1,11,0
123,246.23,276.87,False,False,2,2,20,0
124,734.6,820.84,True,True,1,1,6,0
125,8046.14,967.09,True,True,6,7,3,1
126,2562.96,186.95,True,True,12,5,2,1
127,147.34,427.61,False,True,4,1,15,0
128,963.0,893.07,True,False,4,0,12,0
129,1845.47,924.88,True,False,3,0,8,0
130,1295.3,709.3,False,False,0,1,16,0
131,217.68,188.29,True,True,1,0,10,0
132,9823.22,877.3,True,True,7,4,3,1
133,681.38,486.59,False,False,4,0,7,0
134,475.75,378.29,True,False,2,1,14,0
135,444.45,415.46,False,False,4,1,23,0
136,171.07,714.32,True,False,2,0,23,0
137,1541.29,789.4,True,True,3,1,12,0
138,517.77,384.7,True,False,1,2,8,0
139,502.05,664.02,False,False,4,1,9,0
140,4121.05,330.35,True,True,7,7,2,1
141,1555.55,917.81,False,False,2,2,15,0
142,166.06,494.91,False,True,3,2,16,0
143,3247.8,424.85,True,True,10,8,2,1
144,1573.26,831.3,False,True,1,1,5,0
145,747.74,946.01,True,False,0,2,19,0
146,315.15,337.08,False,False,0,1,20,0
147,2833.12,273.06,True,True,10,8,4,1
148,361.07,755.16,False,True,0,1,18,0
149,455.47,315.75,False,False,3,0,16,0
150,7325.88,701.4,False,True,5,6,2,1
151,286.68,166.05,False,False,1,2,5,0
152,5461.44,366.83,False,True,6,7,1,1
153,509.39,822.4,False,True,0,1,9,0
154,922.14,563.2,False,True,0,0,5,0
155,1006.7,799.01,False,False,2,0,9,0
156,847.87,549.78,False,False,2,2,23,0
157,7641.19,528.65,True,False,9,6,0,1
158,4553.44,505.03,False,True,12,8,3,1
159,1404.77,126.75,True,True,9,7,4,1
160,714.39,358.93,True,False,3,2,18,0
161,9695.33,716.69,False,False,8,6,3,1
162,748.59,443.12,False,False,0,1,18,0
163,559.9,292.15,True,False,0,0,7,0
